电站id,电站名称,货币单位,日期,预期收益,实际收益
208,科宁达站,CNY,2025-11-15,630.75,581.97
208,科宁达站,CNY,2025-11-14,630.75,586.28
208,科宁达站,CNY,2025-11-13,630.75,581.76
208,科宁达站,CNY,2025-11-12,630.75,586.47
208,科宁达站,CNY,2025-11-11,630.75,501.96
208,科宁达站,CNY,2025-11-10,630.75,584.07
208,科宁达站,CNY,2025-11-09,630.75,585.85
208,科宁达站,CNY,2025-11-08,630.75,581.16
208,科宁达站,CNY,2025-11-07,630.75,586.12
208,科宁达站,CNY,2025-11-06,630.75,581.58
208,科宁达站,CNY,2025-11-05,630.75,587.23
208,科宁达站,CNY,2025-11-04,630.75,582.48
208,科宁达站,CNY,2025-11-03,630.75,585.02
208,科宁达站,CNY,2025-11-02,630.75,586.26
208,科宁达站,CNY,2025-11-01,630.75,581.14
208,科宁达站,CNY,2025-10-31,590.52,548.29
208,科宁达站,CNY,2025-10-30,590.52,545.76
208,科宁达站,CNY,2025-10-29,590.52,547.88
208,科宁达站,CNY,2025-10-28,607.8,546
208,科宁达站,CNY,2025-10-27,607.8,547.43
208,科宁达站,CNY,2025-10-26,607.8,545.55
208,科宁达站,CNY,2025-10-25,607.8,547.94
208,科宁达站,CNY,2025-10-24,607.8,545.55
208,科宁达站,CNY,2025-10-23,607.8,548.07
208,科宁达站,CNY,2025-10-22,607.8,545.55
208,科宁达站,CNY,2025-10-21,607.8,548.94
208,科宁达站,CNY,2025-10-20,607.8,538.12
208,科宁达站,CNY,2025-10-19,607.8,547.51
208,科宁达站,CNY,2025-10-18,607.8,542.65
208,科宁达站,CNY,2025-10-17,607.8,543.69
208,科宁达站,CNY,2025-10-16,607.8,541.16
208,科宁达站,CNY,2025-10-15,607.8,542.2
208,科宁达站,CNY,2025-10-14,607.8,541.75
208,科宁达站,CNY,2025-10-13,607.8,540.47
208,科宁达站,CNY,2025-10-12,607.8,537.24
208,科宁达站,CNY,2025-10-11,607.8,538.47
208,科宁达站,CNY,2025-10-10,607.8,536.82
208,科宁达站,CNY,2025-10-09,607.8,538.96
208,科宁达站,CNY,2025-10-08,558.88,606.64
208,科宁达站,CNY,2025-10-07,558.88,601.87
208,科宁达站,CNY,2025-10-06,685.3,377.1
208,科宁达站,CNY,2025-10-05,685.3,460.58
208,科宁达站,CNY,2025-10-04,685.3,392.91
208,科宁达站,CNY,2025-10-03,685.3,416.92
