"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-12-26","287","90138b04-6675-4a4b-90c6-73ee4f6aaa7d","pcs","DSP参数设置不匹配","26/12/2025 01:33:42","26/12/2025 01:34:13"
"2025-12-26","287","87656828-8b95-4bcd-ab18-d8b8049e596c","ems","高压电表数据 udp 广播接收超时异常","26/12/2025 01:34:30","26/12/2025 01:34:35"
"2025-12-26","287","b6bf2379-b8c1-4c53-a5dd-c3888976bfe0","lc","QF1（电网）反馈","26/12/2025 02:00:52","26/12/2025 02:56:03"
"2025-12-26","287","183fd92e-6fdd-406f-b57b-1af5b0f4f104","pcs","交流母线欠压","26/12/2025 02:00:52","26/12/2025 02:56:03"
"2025-12-26","287","1ce261a8-64a1-439d-929a-46a0746de343","lc","QF2（电池簇）反馈","26/12/2025 02:00:53","26/12/2025 02:56:03"
"2025-12-26","287","da26a770-d231-43ac-9e52-028105b27591","pcs","直流输入欠压","26/12/2025 02:00:52","26/12/2025 02:56:03"
"2025-12-26","287","407f99be-13e9-4d65-a810-88074e3dfe98","pcs","交流母线欠频","26/12/2025 02:00:53","26/12/2025 02:56:03"
"2025-12-26","287","400efb8c-39a7-4251-8765-8c8a8efed08f","lc","LC控制通信丢失","26/12/2025 02:01:03","26/12/2025 02:01:13"
"2025-12-26","287","43a226a6-35f4-4b4a-85d4-168fa37c5bd1","lc","LC控制通信丢失","26/12/2025 02:01:03","26/12/2025 02:56:05"
"2025-12-26","287","e65dce74-d868-44fe-9088-94e097c355a4","lc","LC控制通信丢失","26/12/2025 02:55:34","26/12/2025 02:55:38"
"2025-12-26","287","90cdf580-0a36-4e6d-a961-14d02407f7a7","lc","LC控制通信丢失","26/12/2025 02:55:36","26/12/2025 02:55:42"
"2025-12-26","287","d432d800-fec4-424c-9223-f04dc60e88d0","lc","LC控制通信丢失","26/12/2025 02:55:36","26/12/2025 02:55:43"
"2025-12-26","287","23e0bc93-40cb-4990-a34a-f3926867ed86","pcs","DSP参数设置不匹配","26/12/2025 02:56:05","26/12/2025 02:56:37"
"2025-12-26","287","2aedd16d-a877-4cd4-8b2e-8ec7ea8e03a5","pcs","直流输入欠压","26/12/2025 03:08:00","26/12/2025 03:08:22"
"2025-12-26","287","9c076caa-a995-483f-865f-f2471292ca49","lc","QF2（电池簇）反馈","26/12/2025 03:08:00","26/12/2025 03:08:23"
"2025-12-26","287","c63fa362-9c3e-4c91-bc7a-01a78d1fd61f","pcs","交流母线欠频","26/12/2025 03:08:01","26/12/2025 03:08:22"
"2025-12-26","287","f69d227b-8e1e-47a6-aad4-7cc5ac6e7843","pcs","交流母线欠压","26/12/2025 03:08:01","26/12/2025 03:08:22"
"2025-12-26","287","41f0b766-993b-4a99-a18e-d7ed4f0a6151","lc","QF1（电网）反馈","26/12/2025 03:08:01","26/12/2025 03:08:23"
"2025-12-26","287","3e8bbb1a-3e71-4476-888b-b1bc208f487c","lc","LC控制通信丢失","26/12/2025 03:08:15","26/12/2025 03:16:36"
"2025-12-26","287","c72fde4c-09c6-436a-b78a-70265fdd3b30","lc","LC控制通信丢失","26/12/2025 03:08:15","26/12/2025 03:16:35"
"2025-12-26","287","3b886f7f-abd2-4e5d-9857-36f0323e1632","lc","LC控制通信丢失","26/12/2025 03:17:07","26/12/2025 03:28:59"
"2025-12-26","287","75578f10-9db9-4c80-9473-a2494fe5de25","pcs","PCS通讯丢失","26/12/2025 03:28:59","26/12/2025 03:29:02"
"2025-12-26","287","acad0309-9254-4d24-8f2d-2f41b8eac715","pcs","DSP参数设置不匹配","26/12/2025 03:29:01","26/12/2025 03:29:31"
"2025-12-26","287","4fdc0cb0-ac71-4fa5-becc-d3e18c82c164","pcs","直流输入欠压","26/12/2025 03:40:22","26/12/2025 03:51:20"
"2025-12-26","287","352dcdd3-879f-416c-8d74-bff489a3cbea","lc","QF2（电池簇）反馈","26/12/2025 03:40:22","26/12/2025 03:51:20"
"2025-12-26","287","0b1c1c74-bbe1-4e5e-9fa4-999dfbacb7f2","pcs","交流母线欠频","26/12/2025 03:40:24","26/12/2025 03:51:20"
"2025-12-26","287","30e52a59-07f0-4665-9e60-df865c54afc6","pcs","交流母线欠压","26/12/2025 03:40:24","26/12/2025 03:51:20"
"2025-12-26","287","87f5c7d3-d553-46b1-bc8b-a826dd98dea0","lc","QF1（电网）反馈","26/12/2025 03:40:24","26/12/2025 03:51:20"
"2025-12-26","287","5b8fe928-c72b-46be-87a1-9eae0ad7b590","pcs","紧急停机","26/12/2025 03:40:25","26/12/2025 03:51:20"
"2025-12-26","287","b55b014b-7d30-494a-9e88-481dc79a941d","lc","LC控制通信丢失","26/12/2025 03:40:36","26/12/2025 03:40:46"
"2025-12-26","287","8fa6f4dc-340b-4ead-9431-a18691d70878","lc","LC控制通信丢失","26/12/2025 03:40:36","26/12/2025 03:51:20"
"2025-12-26","287","a42a6461-f71d-4b53-9dc1-c058629f5e95","lc","LC控制通信丢失","26/12/2025 03:50:52","26/12/2025 03:51:07"
"2025-12-26","287","60b3c677-8569-48d7-b90f-1020c298c66a","lc","LC控制通信丢失","26/12/2025 03:50:52","26/12/2025 03:50:56"
"2025-12-26","287","dec64fea-317d-49ec-9c16-1cfb09dabaf8","lc","LC控制通信丢失","26/12/2025 03:50:52","26/12/2025 03:50:57"
"2025-12-26","287","30eaf776-7639-4837-8392-a19bc1043f90","pcs","PCS通讯丢失","26/12/2025 03:51:22","26/12/2025 03:51:28"
"2025-12-26","287","6f63cfcc-59e5-4249-9f05-ce5c68e709c7","pcs","DSP参数设置不匹配","26/12/2025 03:51:26","26/12/2025 03:51:57"
"2025-12-26","287","dac62566-bd27-4ce5-a7c2-f81a17c9350d","lc","QF2（电池簇）反馈","26/12/2025 03:54:38","26/12/2025 03:56:44"
"2025-12-26","287","6fd1504c-c511-4d5a-bbbd-7170a5730fc0","pcs","直流输入欠压","26/12/2025 03:54:39","26/12/2025 03:56:44"
"2025-12-26","287","7a8a9b24-5688-4896-804b-b9d7f2fe90d2","lc","QF1（电网）反馈","26/12/2025 03:54:39","26/12/2025 03:56:44"
"2025-12-26","287","8ad3d336-1f49-4b3d-9e01-c6adab1c9e73","pcs","交流母线欠频","26/12/2025 03:54:40","26/12/2025 03:56:44"
"2025-12-26","287","b13e0b7e-7bb5-481e-b2a8-f7a9784c4640","pcs","交流母线欠压","26/12/2025 03:54:40","26/12/2025 03:56:44"
"2025-12-26","287","267ee13a-2f87-4682-89f6-019f4bb6080c","lc","LC控制通信丢失","26/12/2025 03:54:51","26/12/2025 03:55:00"
"2025-12-26","287","bbb27b78-2484-480b-9568-480927c142ba","lc","LC控制通信丢失","26/12/2025 03:54:51","26/12/2025 03:56:47"
"2025-12-26","287","62b22c02-5cb0-4653-973b-41addeeb31f9","lc","LC控制通信丢失","26/12/2025 03:56:16","26/12/2025 03:56:19"
"2025-12-26","287","1dd11c2d-5d23-4f65-bd17-5d7253bc29c1","lc","LC控制通信丢失","26/12/2025 03:56:16","26/12/2025 04:00:03"
"2025-12-26","287","8755a53b-63f9-4ce8-bb56-5514f85223fa","lc","LC控制通信丢失","26/12/2025 03:56:16","26/12/2025 04:00:04"
"2025-12-26","287","e62b26cd-b8b0-4a4e-82b3-bebe162f7eaf","pcs","PCS通讯丢失","26/12/2025 03:56:48","26/12/2025 03:56:51"
"2025-12-26","287","7c7482f4-7093-4ed2-942c-01b035e02be7","pcs","DSP参数设置不匹配","26/12/2025 03:56:49","26/12/2025 03:57:19"
"2025-12-26","287","9c72e065-9af2-4054-a55b-9aa34593396e","pcs","交流母线欠压","26/12/2025 03:58:38","26/12/2025 03:58:59"
"2025-12-26","287","f7d1c996-dd03-479c-a734-781498a88a72","pcs","直流输入欠压","26/12/2025 03:58:38","26/12/2025 03:58:59"
"2025-12-26","287","854dcdf2-6d65-4500-8589-5df01497208c","lc","QF2（电池簇）反馈","26/12/2025 03:58:38","26/12/2025 03:58:59"
"2025-12-26","287","78f0c936-5d93-456d-9e42-eec0067fc56b","pcs","交流母线欠频","26/12/2025 03:58:39","26/12/2025 03:58:59"
"2025-12-26","287","f650393a-ff41-45a6-ac81-e792ccb1e471","lc","QF1（电网）反馈","26/12/2025 03:58:39","26/12/2025 03:58:59"
"2025-12-26","287","5e522918-79ef-4caa-9db9-3b2e50a40a99","pcs","紧急停机","26/12/2025 03:58:40","26/12/2025 03:58:59"
"2025-12-26","287","601fdd42-feb2-4240-bddc-c9c22a308e79","lc","LC控制通信丢失","26/12/2025 03:58:50","26/12/2025 04:00:06"
"2025-12-26","287","1e9712ae-9733-49b4-8c65-dd414b93fe35","lc","LC控制通信丢失","26/12/2025 03:58:50","26/12/2025 04:00:05"
"2025-12-26","287","38dc9c89-03fd-436b-9ca1-25cbea8cc2b4","ems","高压电表数据 udp 广播接收超时异常","26/12/2025 04:00:04","26/12/2025 04:00:09"
"2025-12-26","287","1fb20e47-61d6-4a80-9032-2ce1f2305359","pcs","PCS通讯丢失","26/12/2025 04:00:22","26/12/2025 04:00:27"
"2025-12-26","287","10c4cbac-36b5-44c6-b89e-ecc8091c1696","pcs","DSP参数设置不匹配","26/12/2025 04:00:25","26/12/2025 04:00:55"
